Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,,Matches,a2c1a8d3
2,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,1080,12,13,1.08,32,19,62.5,6,1,5,4,33.3,2,1,1,0,50,Matches,9e17ccff
3,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,3240,36,24,0.67,97,73,75.3,27,7,2,20,55.6,0,0,0,0,,Matches,7a2e46a8
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches,2f965a72
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,0,,Matches,28d596a0
6,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,6,540,6,9,1.5,27,19,70.4,2,2,2,0,0,1,1,0,0,0,Matches,9f0ea33f
7,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29,29,2560,28.4,48,1.69,131,85,64.1,8,5,16,5,17.2,2,1,1,0,50,Matches,649b01d8
8,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,1080,12,28,2.33,69,45,63.8,1,0,11,0,0,3,3,0,0,0,Matches,1c0eea98
9,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,2160,24,35,1.46,106,77,73.6,8,5,11,5,20.8,9,7,1,1,12.5,Matches,e4346678
10,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,1,0,3,0,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches,ad263695
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0,2,2,0,0,0,Matches,be13e5a8
12,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,2,177,2,2,1.02,9,7,77.8,1,1,0,1,50,0,0,0,0,,Matches,0acda699
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,2970,33,57,1.73,154,100,64.3,12,7,14,8,24.2,4,2,1,1,33.3,Matches,47064058
14,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3,3,270,3,8,2.67,17,11,58.8,1,0,2,1,33.3,1,1,0,0,0,Matches,7b4de647
15,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23,21,1938,21.5,49,2.28,129,84,64.3,3,2,16,1,4.8,5,3,1,1,25,Matches,4f8ce0e1
16,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37,37,3330,37,35,0.95,138,107,77.5,20,7,10,14,37.8,5,4,1,0,20,Matches,8a2248b4
17,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1,1,90,1,3,3,7,3,57.1,0,1,0,0,0,0,0,0,0,,Matches,ec1f737d
18,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10,10,900,10,8,0.8,38,31,84.2,3,4,3,4,40,3,2,1,0,33.3,Matches,ee833569
19,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19,19,1710,19,33,1.74,87,57,67.8,5,5,9,3,15.8,5,5,0,0,0,Matches,28dabd43
20,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13,13,1170,13,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0,Matches,28dabd43
21,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,11,9,833,9.3,20,2.16,53,36,66,2,3,4,2,22.2,2,2,0,0,0,Matches,380a15e2
22,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38,38,3420,38,57,1.5,169,117,68.6,13,9,16,7,18.4,4,4,0,0,0,Matches,3d214e5f
23,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31,31,2790,31,24,0.77,98,75,77.6,14,13,4,13,41.9,4,2,1,1,33.3,Matches,f6798fc3
24,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,17,17,1456,16.2,19,1.17,55,39,67.3,8,4,5,5,29.4,1,1,0,0,0,Matches,10072610
25,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,26,1995,4,4,360,4,7,1.75,24,17,70.8,0,2,2,0,0,0,0,0,0,,Matches,d28339cb
26,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,21,1999,1,1,90,1,1,1,5,4,80,0,0,1,0,0,0,0,0,0,,Matches,db87a2c4
27,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,1989,14,14,1260,14,28,2,69,44,63.8,2,4,8,3,21.4,3,3,0,0,0,Matches,25bdea4b
28,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,30,1990,1,1,90,1,1,1,0,0,,1,0,0,0,0,1,1,0,0,0,Matches,9d12e142
29,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,28,1993,9,8,765,8.5,13,1.53,28,17,53.6,2,4,2,1,12.5,1,0,1,0,100,Matches,cc70a1d5
30,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,39,1981,2,2,180,2,5,2.5,11,6,54.5,0,1,1,0,0,0,0,0,0,,Matches,a179d516
31,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,19,17,1542,17.1,30,1.75,85,56,67.1,4,5,8,5,29.4,2,2,0,0,0,Matches,5ee6e943
32,Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24,24,2160,24,46,1.92,115,71,63.5,6,6,12,5,20.8,4,4,0,0,0,Matches,e1846dde
33,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14,14,1260,14,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,,Matches,58bc7d18
34,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28,28,2520,28,40,1.43,111,74,66.7,11,6,11,10,35.7,6,3,2,1,40,Matches,db401046
35,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,26,1995,17,17,1530,17,20,1.18,62,46,74.2,6,6,5,8,47.1,5,4,1,0,20,Matches,f5dfc256
36,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,17,17,1457,16.2,29,1.79,71,47,66.2,4,8,5,3,17.6,6,5,1,0,16.7,Matches,04ac8285
37,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,1,0,6,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches,4eae5bc4
38,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,37,37,3322,36.9,63,1.71,159,103,65.4,13,11,13,3,8.1,9,8,1,0,11.1,Matches,8cabdc1e
39,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25,25,2250,25,62,2.48,129,72,55.8,3,8,14,0,0,5,5,0,0,0,Matches,2434f24a
40,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36,36,3240,36,29,0.81,116,88,76.7,26,7,3,16,44.4,3,2,1,0,33.3,Matches,1840e36d
41,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35,35,3150,35,63,1.8,167,108,65.9,6,10,19,2,5.7,8,6,2,0,25,Matches,f554e29b
42,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2,2,180,2,3,1.5,4,2,50,1,1,0,0,0,1,1,0,0,0,Matches,dee3013b
43,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8,8,720,8,15,1.87,37,25,64.9,0,5,3,0,0,2,2,0,0,0,Matches,cde3309f
44,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,15,15,1304,14.5,33,2.28,64,35,53.1,3,5,7,3,20,3,3,0,0,0,Matches,e8c5dd4d
45,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24,1997,1,1,90,1,1,1,2,1,50,0,1,0,0,0,0,0,0,0,,Matches,17a1299d
46,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,31,30,2772,30.8,37,1.2,116,86,74.1,11,8,11,9,30,9,7,2,0,22.2,Matches,fc70e345
47,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,38,3420,38,43,1.13,128,91,69.5,12,10,16,14,36.8,8,4,4,0,50,Matches,b6160ad0
48,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,24,23,2116,23.5,36,1.53,96,63,64.6,6,4,13,5,21.7,2,2,0,0,0,Matches,62124972
49,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6,6,540,6,5,0.83,18,13,72.2,4,2,0,4,66.7,0,0,0,0,,Matches,ac295d9e
50,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,,Matches,c9cb972b
51,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,17,1530,17,17,1,60,44,73.3,13,2,2,5,29.4,1,1,0,0,0,Matches,08f5afaa
52,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,7,7,556,6.2,8,1.29,23,16,69.6,3,0,4,2,28.6,2,1,1,0,50,Matches,085e71a7
53,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,16,1440,16,25,1.56,57,33,57.9,5,4,7,7,43.8,1,1,0,0,0,Matches,fbf83734
54,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,26,2340,26,35,1.35,106,71,67.9,13,4,9,8,30.8,1,1,0,0,0,Matches,3a949a25
55,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,37,3330,37,26,0.7,83,56,69.9,28,6,3,20,54.1,1,1,0,0,0,Matches,3bb7b8b4
56,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,4,3,284,3.2,6,1.9,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0,Matches,67669ce7
57,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,3,270,3,7,2.33,18,13,72.2,2,0,1,0,0,2,2,0,0,0,Matches,83e0eeb4
58,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,37,3330,37,50,1.35,156,105,69.2,16,8,13,8,21.6,6,2,3,1,60,Matches,9328b835
59,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,10,9,855,9.5,14,1.47,53,41,75.5,2,1,6,2,22.2,1,1,0,0,0,Matches,9f5a610b
60,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,13,11,1105,12.3,15,1.22,42,28,66.7,7,3,1,3,27.3,1,1,0,0,0,Matches,2c127b6f
61,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13,13,1166,13,29,2.24,79,51,64.6,1,5,7,2,15.4,2,1,1,0,50,Matches,a01c3d54
62,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12,12,1080,12,24,2,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0,Matches,f127d782
63,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1,1,90,1,5,5,8,3,37.5,0,0,1,0,0,0,0,0,0,,Matches,a2565f79
64,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,32,2880,32,39,1.22,140,103,73.6,15,9,8,10,31.3,2,2,0,0,0,Matches,a92ab7be
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19,19,1710,19,35,1.84,98,67,66.3,6,5,8,3,15.8,2,2,0,0,0,Matches,c3e39f12
66,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26,26,2340,26,49,1.88,111,63,58.6,5,5,16,4,15.4,4,3,1,0,25,Matches,d0b3ceb9
67,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,1,0,10,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches,1940be91
68,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8,8,720,8,30,3.75,52,26,46.2,0,0,8,0,0,2,2,0,0,0,Matches,86314793
69,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31,31,2790,31,45,1.45,128,92,71.1,8,8,15,8,25.8,8,8,0,0,0,Matches,db3164e1
70,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,2,1,108,1.2,3,2.5,3,0,0,0,0,1,0,0,0,0,0,0,,Matches,87b498b0
71,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38,38,3420,38,57,1.5,177,124,69.5,16,10,12,8,21.1,6,3,3,0,50,Matches,7ba6d84e
72,Luca Gemello,it ITA,GK,Torino,it Serie A,21,2000,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches,53e494ec
73,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34,34,3060,34,56,1.65,152,100,66.4,10,8,16,9,26.5,5,5,0,0,0,Matches,17376543
74,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25,25,2250,25,25,1,62,40,66.1,14,5,6,10,40,4,4,0,0,0,Matches,cecbce23
75,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches,f26dee6b
76,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21,21,1890,21,28,1.33,88,63,70.5,8,7,6,2,9.5,2,2,0,0,0,Matches,3f034750
77,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,15,15,1197,13.3,27,2.03,67,43,61.2,2,5,8,1,6.7,1,1,0,0,0,Matches,667b65da
78,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches,30061f53
79,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1,1,90,1,2,2,6,5,66.7,1,0,0,0,0,0,0,0,0,,Matches,37998008
80,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,30,30,2655,29.5,33,1.12,113,83,73.5,9,11,10,11,36.7,3,3,0,0,0,Matches,ab13a5aa
81,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33,33,2967,33,34,1.03,107,77,71,17,7,9,10,30.3,3,3,0,0,0,Matches,bcb2ccd8
82,Angus Gunn,eng ENG,GK,Norwich City,eng Premier League,25,1996,9,9,810,9,22,2.44,54,34,63,1,2,6,1,11.1,4,2,1,1,33.3,Matches,e082af5b
83,Samir Handanović,si SVN,GK,Inter,it Serie A,37,1984,37,37,3330,37,30,0.81,121,94,78.5,25,9,3,15,40.5,4,4,0,0,0,Matches,74419746
84,Wayne Hennessey,wls WAL,GK,Burnley,eng Premier League,34,1987,2,2,180,2,6,3,13,7,53.8,0,0,2,0,0,0,0,0,0,,Matches,76eca7e2
85,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,28,1993,36,36,3240,36,48,1.33,136,92,67.6,12,10,14,12,33.3,7,4,3,0,42.9,Matches,a4995f48
86,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,33,1987,5,4,405,4.5,12,2.67,23,13,56.5,1,0,3,0,0,2,2,0,0,0,Matches,2e7ff968
87,Timo Horn,de GER,GK,Köln,de Bundesliga,28,1993,13,13,1170,13,21,1.62,55,35,61.8,4,6,3,1,7.7,0,0,0,0,,Matches,3cd9e95a
88,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,31,1989,32,32,2880,32,44,1.37,153,110,72.5,17,7,8,8,25,4,2,1,1,33.3,Matches,ad3389d5
89,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches,62ba5881
90,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,,Matches,a4527d33
91,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2,2,180,2,2,1,8,5,75,1,1,0,1,50,0,0,0,0,,Matches,62d7ef38
92,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,1,0,36,0.4,0,0,4,4,100,0,0,0,0,,0,0,0,0,,Matches,3f70db80
93,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,29,29,2565,28.5,39,1.37,105,71,65.7,20,3,6,7,24.1,3,3,0,0,0,Matches,cd59b9df
94,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29,29,2610,29,62,2.14,158,101,65.2,4,5,20,5,17.2,9,7,1,1,12.5,Matches,f23f9d20
95,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38,38,3420,38,48,1.26,150,106,70.7,15,10,13,8,21.1,7,4,3,0,42.9,Matches,4e7db402
96,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,27,27,2313,25.7,33,1.28,94,64,68.1,10,8,9,5,18.5,4,3,1,0,25,Matches,edbe46dc
97,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38,38,3420,38,51,1.34,159,117,74.8,8,15,15,13,34.2,13,11,2,0,15.4,Matches,6c4776b1
98,Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4,4,360,4,9,2.25,19,9,52.6,1,0,3,1,25,0,0,0,0,,Matches,2628fd2b
99,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,1,0,8,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches,96fcd380
100,Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0,0,0,0,0,,Matches,c9c32262
101,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12,12,1080,12,24,2,61,37,62.3,1,5,6,3,25,1,1,0,0,0,Matches,4d6a842d
102,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38,38,3420,38,40,1.05,133,95,71.4,22,5,11,16,42.1,2,2,0,0,0,Matches,8f62b6ee
103,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,34,34,2982,33.1,45,1.36,146,106,71.2,14,11,9,8,23.5,4,3,1,0,25,Matches,f00de885
104,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,36,36,3177,35.3,49,1.39,152,106,69.7,10,12,14,10,27.8,4,3,0,1,0,Matches,73683fa9
105,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29,29,2610,29,29,1,81,53,69.1,15,6,8,10,34.5,4,4,0,0,0,Matches,20b9f052
106,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2,2,180,2,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,0,,Matches,939bc634
107,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,10,9,885,9.8,20,2.03,44,27,61.4,2,1,6,2,22.2,3,3,0,0,0,Matches,5584552e
108,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2,2,180,2,2,1,7,6,85.7,0,1,1,0,0,2,1,1,0,50,Matches,3061e1ec
