Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
109,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,,Matches,8a6ab963
110,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27,27,2430,27,39,1.44,105,70,64.8,11,7,9,6,22.2,2,2,0,0,0,Matches,7fe12375
111,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,17,16,1485,16.5,27,1.64,78,56,71.8,1,4,11,1,6.3,6,5,0,1,0,Matches,14a96e1c
112,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32,32,2880,32,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0,Matches,fcb38f57
113,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18,18,1620,18,20,1.11,74,56,75.7,5,7,6,8,44.4,2,2,0,0,0,Matches,d4b73232
114,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9,9,810,9,7,0.78,26,19,73.1,6,2,1,5,55.6,0,0,0,0,,Matches,1d2d5cc8
115,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10,10,900,10,14,1.4,45,32,68.9,3,3,4,2,20,0,0,0,0,,Matches,f7d3a773
116,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,1,0,11,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches,880fcdbb
117,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36,36,3240,36,48,1.33,136,93,67.6,13,6,17,11,30.6,6,4,1,1,20,Matches,7956236f
118,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches,11d8aff0
119,Luís Maximiano,pt POR,GK,Granada,es La Liga,22,1999,35,35,3136,34.8,55,1.58,170,121,70.6,8,12,15,7,20,7,5,2,0,28.6,Matches,3318286e
120,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,31,1989,17,17,1530,17,27,1.59,71,43,62,3,7,7,5,29.4,0,0,0,0,,Matches,36c2ca73
121,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,29,1992,34,34,3060,34,31,0.91,95,70,73.7,19,10,5,14,41.2,6,6,0,0,0,Matches,33887998
122,Alex Meret,it ITA,GK,Napoli,it Serie A,24,1997,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,3,42.9,0,0,0,0,,Matches,9413b19f
123,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,21,2000,38,38,3384,37.6,79,2.1,215,139,65.6,9,11,18,5,13.2,5,5,0,0,0,Matches,6b625ac2
124,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,24,1997,27,27,2430,27,33,1.22,73,47,64.4,9,7,11,4,14.8,8,7,1,0,12.5,Matches,9fa26bc2
125,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,25,1996,34,34,3060,34,50,1.47,135,85,64.4,13,10,11,4,11.8,3,2,1,0,33.3,Matches,c1d95617
126,Jessy Moulin,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7,7,630,7,8,1.14,21,15,71.4,1,3,3,1,14.3,2,2,0,0,0,Matches,28a65a2c
127,Florian Müller,de GER,GK,Stuttgart,de Bundesliga,23,1997,30,30,2700,30,52,1.73,132,83,63.6,7,10,13,4,13.3,4,4,0,0,0,Matches,cbac6ec9
128,Juan Musso,ar ARG,GK,Atalanta,it Serie A,27,1994,33,33,2932,32.6,42,1.29,116,79,66.4,16,8,9,8,24.2,4,3,0,1,0,Matches,a111cf41
129,Paul Nardi,fr FRA,GK,Lorient,fr Ligue 1,27,1994,22,22,1980,22,38,1.73,88,56,61.4,3,8,11,4,18.2,5,4,0,1,0,Matches,2d70dbe5
130,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34,1986,21,21,1856,20.6,18,0.87,76,60,78.9,13,6,2,8,38.1,2,2,0,0,0,Matches,ecada4fc
131,Neto,br BRA,GK,Barcelona,es La Liga,32,1989,3,3,270,3,4,1.33,14,10,71.4,2,1,0,0,0,0,0,0,0,,Matches,a9dc785c
132,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,35,1986,28,28,2510,27.9,26,0.93,89,64,71.9,22,4,2,10,35.7,1,1,0,0,0,Matches,8778c910
133,Alexander Nübel,de GER,GK,Monaco,fr Ligue 1,24,1996,38,38,3420,38,40,1.05,135,106,76.3,20,9,9,11,28.9,9,8,0,1,0,Matches,afb0c500
134,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,28,1993,38,38,3420,38,43,1.13,96,62,62.5,21,8,9,12,31.6,8,7,1,0,12.5,Matches,ee8508c0
135,Oier Olazábal,es ESP,GK,Espanyol,es La Liga,31,1989,2,1,135,1.5,1,0.67,7,7,100,0,0,1,1,100,1,1,0,0,0,Matches,b5bdf144
136,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,31,1990,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,Matches,e7ee38c3
137,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27,1994,29,29,2587,28.7,41,1.43,153,115,75.2,10,4,15,8,27.6,4,3,1,0,25,Matches,c631f952
138,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,28,1992,33,33,2970,33,53,1.61,172,124,73.3,4,13,16,6,18.2,7,7,0,0,0,Matches,c1242d4e
139,David Ospina,co COL,GK,Napoli,it Serie A,32,1988,31,31,2790,31,25,0.81,104,81,76.9,19,6,6,13,41.9,1,1,0,0,0,Matches,82b1198a
140,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,33,1988,21,21,1875,20.8,39,1.87,88,53,59.1,2,8,11,3,14.3,3,3,0,0,0,Matches,ae7d0ecd
141,Jesús Owono,gq EQG,GK,Alavés,es La Liga,20,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches,d6e3d7fb
142,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,29,1992,34,34,3053,33.9,60,1.77,139,83,60.4,8,5,21,6,17.6,8,5,3,0,37.5,Matches,97852360
143,Daniele Padelli,it ITA,GK,Udinese,it Serie A,35,1985,3,3,270,3,8,2.67,23,13,65.2,1,0,2,1,33.3,0,0,0,0,,Matches,cf1c23d8
144,Ivor Pandur,hr CRO,GK,Hellas Verona,it Serie A,21,2000,3,3,270,3,6,2,14,9,64.3,1,0,2,0,0,1,1,0,0,0,Matches,457cb02f
145,Rui Patrício,pt POR,GK,Roma,it Serie A,33,1988,38,38,3420,38,43,1.13,141,103,73,18,9,11,15,39.5,6,5,1,0,16.7,Matches,79b0d6a0
146,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,40,1981,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,Matches,f058ed1f
147,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,36,1985,1,1,90,1,3,3,7,4,57.1,1,0,0,0,0,0,0,0,0,,Matches,c41f7379
148,Juan Pérez,es ESP,GK,Osasuna,es La Liga,25,1996,2,2,180,2,3,1.5,4,2,25,0,1,1,0,0,0,0,0,0,,Matches,8f29e08b
149,Mattia Perin,it ITA,GK,Juventus,it Serie A,28,1992,5,5,405,4.5,7,1.56,16,10,56.3,2,1,2,1,20,0,0,0,0,,Matches,4c62d0c8
150,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33,1987,6,6,540,6,14,2.33,36,23,63.9,1,0,5,1,16.7,1,1,0,0,0,Matches,c89e8aae
151,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15,15,1350,15,22,1.47,62,44,67.7,3,3,9,2,13.3,3,2,1,0,33.3,Matches,b98cea65
152,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,27,1994,35,35,3150,35,58,1.66,167,114,65.9,10,6,19,7,20,1,1,0,0,0,Matches,4806ec67
153,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,31,1990,1,0,45,0.5,1,2,1,1,100,0,0,0,0,,1,1,0,0,0,Matches,f6a06749
154,Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,26,1994,6,4,436,4.8,6,1.24,21,19,90.5,3,0,1,1,25,4,4,0,0,0,Matches,d6f6ce93
155,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36,36,3240,36,47,1.31,159,116,73.6,7,14,15,9,25,5,5,0,0,0,Matches,4b40d9ca
156,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13,13,1170,13,29,2.23,56,31,51.8,3,5,5,2,15.4,4,2,2,0,50,Matches,c252c705
157,Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,,Matches,f38284bb
158,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,31,31,2761,30.7,52,1.7,155,112,72.3,9,5,17,7,22.6,12,9,1,2,10,Matches,277da414
159,Ionuț Radu,ro ROU,GK,Inter,it Serie A,24,1997,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,Matches,67f649be
160,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3,3,270,3,5,1.67,15,11,73.3,0,2,1,1,33.3,2,1,1,0,50,Matches,0dfce079
161,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38,38,3420,38,44,1.16,152,114,74.3,11,13,14,11,28.9,7,5,1,1,16.7,Matches,58ad9383
162,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,19,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches,b90c4a43
163,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,34,34,3060,34,39,1.15,122,84,72.1,21,3,10,12,35.3,6,5,0,1,0,Matches,466fb2c5
164,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,32,1988,1,0,5,0.1,1,18,0,0,,0,0,0,0,,1,1,0,0,0,Matches,d7a35008
165,David Raya,es ESP,GK,Brentford,eng Premier League,25,1995,24,24,2160,24,27,1.13,99,75,76.8,10,5,9,8,33.3,4,4,0,0,0,Matches,98ea5115
166,Manolo Reina,es ESP,GK,Mallorca,es La Liga,36,1985,21,21,1890,21,26,1.24,72,47,66.7,6,9,6,8,38.1,3,2,1,0,33.3,Matches,605eb473
167,Pepe Reina,es ESP,GK,Lazio,it Serie A,38,1982,15,15,1350,15,29,1.93,56,30,55.4,6,4,5,2,13.3,5,4,0,1,0,Matches,e358587b
168,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,26,1995,35,35,3150,35,32,0.91,107,77,73.8,15,11,9,19,54.3,5,4,1,0,20,Matches,374ee424
169,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches,5f0241b2
170,Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14,14,1260,14,29,2.07,52,28,50,4,0,10,1,7.1,4,3,1,0,25,Matches,5f0241b2
171,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31,31,2790,31,45,1.45,149,110,71.8,10,6,15,7,22.6,6,3,2,1,40,Matches,9f941969
172,Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2,2,180,2,5,2.5,13,10,69.2,0,0,2,0,0,1,1,0,0,0,Matches,924ff27e
173,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16,16,1440,16,33,2.06,99,74,72.7,3,4,9,3,18.8,6,6,0,0,0,Matches,1e26e376
174,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7,7,630,7,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,0,,Matches,a70b8345
175,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,1,0,37,0.4,1,2.43,2,1,50,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
176,John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,2,1,135,1.5,3,2,7,4,57.1,0,1,0,0,0,0,0,0,0,,Matches,da8b19e2
177,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32,32,2880,32,28,0.87,97,70,74.2,14,9,9,14,43.8,4,3,1,0,25,Matches,625c144a
178,Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,29,1992,3,3,270,3,5,1.67,15,11,73.3,2,0,1,1,33.3,1,1,0,0,0,Matches,4535e4bb
179,José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,37,37,3285,36.5,40,1.1,150,120,79.3,15,5,17,11,29.7,10,9,0,1,0,Matches,903b6e8b
180,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,Matches,74733221
181,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,23,1997,37,37,3329,37,42,1.14,140,100,72.1,12,15,10,11,29.7,4,3,0,1,0,Matches,6a713852
182,Giacomo Satalino,it ITA,GK,Sassuolo,it Serie A,22,1999,1,0,8,0.1,0,0,1,1,100,0,0,0,0,,0,0,0,0,,Matches,b1f0b916
183,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37,37,3330,37,58,1.57,176,125,71,13,10,14,7,18.9,10,7,2,1,22.2,Matches,53af52f3
184,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,21,21,1890,21,28,1.33,96,68,70.8,10,4,7,3,14.3,1,0,1,0,100,Matches,87436846
185,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,25,25,2175,24.2,51,2.11,120,73,61.7,7,5,13,4,16,5,5,0,0,0,Matches,0d55d942
186,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37,37,3330,37,43,1.16,125,86,68.8,16,12,9,13,35.1,4,4,0,0,0,Matches,834b5c4c
187,Adrian Šemper,hr CRO,GK,Genoa,it Serie A,23,1998,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches,f02dde20
188,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,16,16,1392,15.5,24,1.55,75,54,72,4,8,4,1,6.3,3,3,0,0,0,Matches,343f753a
189,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,22,21,1964,21.8,21,0.96,72,52,73.6,11,4,6,8,38.1,2,2,0,0,0,Matches,ea83bfa6
190,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35,35,3150,35,50,1.43,133,88,66.2,10,14,11,7,20,7,5,0,2,0,Matches,0d422df7
191,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34,34,3060,34,31,0.91,106,74,73.6,13,11,10,12,35.3,3,3,0,0,0,Matches,5dcf3e90
192,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,Matches,0d8a37c2
193,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37,37,3330,37,59,1.59,175,119,68.6,4,16,17,10,27,5,4,1,0,20,Matches,10dc46f0
194,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,4,3,277,3.1,4,1.3,15,12,80,0,1,2,1,33.3,1,1,0,0,0,Matches,9970da54
195,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36,36,3240,36,53,1.47,166,123,72.9,11,9,16,12,33.3,9,8,1,0,11.1,Matches,ab4449d6
196,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33,33,2970,33,60,1.82,175,116,67.4,12,8,13,5,15.2,5,3,2,0,40,Matches,420c18a1
197,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,38,38,3414,37.9,41,1.08,130,89,70,8,15,15,14,36.8,4,2,1,1,33.3,Matches,8f8c6934
198,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5,5,450,5,5,1,16,12,81.3,0,3,2,2,40,2,2,0,0,0,Matches,ac4003af
199,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,Matches,28300a16
200,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches,a8a3d139
201,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,Matches,42130443
202,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23,23,2070,23,29,1.26,87,58,67.8,12,6,5,7,30.4,1,1,0,0,0,Matches,339fe0e8
203,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,31,1990,33,33,2970,33,29,0.88,101,75,74.3,18,9,6,12,36.4,6,3,3,0,50,Matches,01b8a2b2
204,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,35,1986,6,6,540,6,10,1.67,21,14,61.9,4,1,1,1,16.7,3,2,1,0,33.3,Matches,b056e3da
205,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,29,1992,35,35,3150,35,34,0.97,110,78,70.9,19,9,7,11,31.4,3,2,1,0,33.3,Matches,6f51e382
206,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,31,1990,32,31,2862,31.8,43,1.35,95,56,56.8,16,5,10,9,29,3,2,1,0,33.3,Matches,e1b0a70d
207,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,31,1990,32,32,2880,32,46,1.44,155,112,72.9,10,11,11,5,15.6,4,4,0,0,0,Matches,ce17b5eb
208,Philipp Tschauner,de GER,GK,RB Leipzig,de Bundesliga,35,1985,1,0,3,0,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches,73e2f6eb
209,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,32,1988,6,6,540,6,11,1.83,23,14,56.5,2,1,3,1,16.7,1,1,0,0,0,Matches,7d3e7da6
210,Benjamin Uphoff,de GER,GK,Freiburg,de Bundesliga,27,1993,2,2,180,2,7,3.5,12,5,41.7,0,1,1,0,0,0,0,0,0,,Matches,a9a6fc08
211,Rúben Vezo,pt POR,DF,Levante,es La Liga,27,1994,1,1,4,26.9,0,0,0,0,,0,1,0,0,0,0,0,0,0,,Matches,c67cd65c
212,Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,24,1996,38,38,3420,38,70,1.84,209,146,68.9,10,11,17,7,18.4,10,5,2,3,28.6,Matches,77d6fd4d
213,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,28,1993,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,,Matches,d3ce0e89
214,Freddie Woodman,eng ENG,GK,Newcastle Utd,eng Premier League,24,1997,4,4,360,4,12,3,19,9,47.4,0,1,3,0,0,3,2,1,0,33.3,Matches,19e50035
215,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,26,1994,32,32,2880,32,42,1.31,115,78,67,12,6,14,10,31.3,5,4,1,0,20,Matches,5c4bf6ba
216,Luca Zidane,fr FRA,GKMF,Rayo Vallecano,es La Liga,23,1998,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0,0,0,0,0,,Matches,c818c4d9
217,Jeroen Zoet,nl NED,GK,Spezia,it Serie A,30,1991,7,7,630,7,19,2.71,40,22,55,1,1,5,0,0,2,1,1,0,50,Matches,cc1a0c57
218,Petar Zovko,ba BIH,GK,Spezia,it Serie A,19,2002,1,0,29,0.3,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches,54f6afe3